"index","actual","aic_fit","bic_fit","aic","bic","r_aic","r_bic","aic_ma","bic_ma"
1,131.779999,220.940242399568,220.940242399568,NA,NA,NA,NA,5,5
2,130.570007,98.406925312683,98.406925312683,NA,NA,NA,NA,5,5
3,131.320007,126.400114083831,126.400114083831,NA,NA,NA,NA,5,5
4,132.229996,145.529401727241,145.529401727241,NA,NA,NA,NA,5,5
5,131.029999,147.711943425743,147.711943425743,NA,NA,NA,NA,5,5
6,131.740005,145.588223859648,145.588223859648,NA,NA,NA,NA,5,5
7,132.380005,144.703583819923,144.703583819923,NA,NA,NA,NA,5,5
8,132.25,130.807251121235,130.807251121235,NA,NA,NA,NA,5,5
9,134.660004,135.616436863657,135.616436863657,NA,NA,NA,NA,5,5
10,134.419998,143.764326183334,143.764326183334,NA,NA,NA,NA,5,5
11,133.850006,143.452068371782,143.452068371782,NA,NA,NA,NA,5,5
12,135.839996,140.962501035979,140.962501035979,NA,NA,NA,NA,5,5
13,133.740005,141.990602858774,141.990602858774,NA,NA,NA,NA,5,5
14,133.160004,137.130584881236,137.130584881236,NA,NA,NA,NA,5,5
15,133.380005,137.131407626994,137.131407626994,NA,NA,NA,NA,5,5
16,133.5,139.511616218741,139.511616218741,NA,NA,NA,NA,5,5
17,134,139.506416413244,139.506416413244,NA,NA,NA,NA,5,5
18,135.100006,139.108826719891,139.108826719891,NA,NA,NA,NA,5,5
19,136.179993,140.529709757048,140.529709757048,NA,NA,NA,NA,5,5
20,135.839996,140.932330427672,140.932330427672,NA,NA,NA,NA,5,5
21,135.630005,140.228584208442,140.228584208442,NA,NA,NA,NA,5,5
22,137.449997,140.187209618794,140.187209618794,NA,NA,NA,NA,5,5
23,139.020004,142.226628483872,142.226628483872,NA,NA,NA,NA,5,5
24,145.539993,143.691955634931,143.691955634931,NA,NA,NA,NA,5,5
25,143.309998,151.173079829228,151.173079829228,NA,NA,NA,NA,5,5
26,143.009995,147.846911712021,147.846911712021,NA,NA,NA,NA,5,5
27,142.429993,146.245956848378,146.245956848378,NA,NA,NA,NA,5,5
28,142.410004,145.462987104657,145.462987104657,NA,NA,NA,NA,5,5
29,140.75,145.41917211532,145.41917211532,NA,NA,NA,NA,5,5
30,140.020004,143.203455169923,143.203455169923,NA,NA,NA,NA,5,5
31,139.539993,143.962525490211,143.962525490211,NA,NA,NA,NA,5,5
32,143.029999,143.19166597598,143.19166597598,NA,NA,NA,NA,5,5
33,142.199997,147.105165500115,147.105165500115,NA,NA,NA,NA,5,5
34,145.089996,145.90324230923,145.90324230923,NA,NA,NA,NA,5,5
35,147.690002,149.048328595136,149.048328595136,NA,NA,NA,NA,5,5
36,148.520004,151.850724684919,151.850724684919,NA,NA,NA,NA,5,5
37,149.990005,152.147610554842,152.147610554842,NA,NA,NA,NA,5,5
38,148.110001,152.868798451391,152.868798451391,NA,NA,NA,NA,5,5
39,146.440002,150.909074787488,150.909074787488,NA,NA,NA,NA,5,5
40,145.330002,148.166861747779,148.166861747779,NA,NA,NA,NA,5,5
41,146.350006,147.350854192034,147.350854192034,NA,NA,NA,NA,5,5
42,147.020004,149.339058062618,149.339058062618,NA,NA,NA,NA,5,5
43,149.520004,150.224031879068,150.224031879068,NA,NA,NA,NA,5,5
44,149.740005,153.386300557016,153.386300557016,NA,NA,NA,NA,5,5
45,150.039993,153.181675923877,153.181675923877,NA,NA,NA,NA,5,5
46,149.770004,152.616682221457,152.616682221457,NA,NA,NA,NA,5,5
47,151.639999,151.917760491986,151.917760491986,NA,NA,NA,NA,5,5
48,150.559998,154.334016893623,154.334016893623,NA,NA,NA,NA,5,5
49,152.389999,152.890078632136,152.890078632136,NA,NA,NA,NA,5,5
