"index","actual","aic_fit","bic_fit","aic","bic","r_aic","r_bic","aic_ma","bic_ma"
1,165.130005,174.167192827732,174.874558055154,NA,NA,NA,NA,4,0
2,161.479996,159.87337213682,158.914697327645,NA,NA,NA,NA,4,0
3,162.889999,158.582897593085,157.88414607474,NA,NA,NA,NA,4,0
4,163.449997,161.117490266115,160.566572799123,NA,NA,NA,NA,4,0
5,158.949997,162.615117137582,162.17096657589,NA,NA,NA,NA,4,0
6,161.270004,158.575974535202,158.506100850936,NA,NA,NA,NA,4,0
7,161.070007,160.095173145922,160.219258383248,NA,NA,NA,NA,4,0
8,162.270004,160.94764581549,160.702906610706,NA,NA,NA,NA,4,0
9,166.399994,162.133919809082,161.883148667106,NA,NA,NA,NA,4,0
10,167.149994,165.900711502508,165.971443281794,NA,NA,NA,NA,4,0
11,169.830002,167.616879517705,167.310051777047,NA,NA,NA,NA,4,0
12,171.039993,169.638550354862,169.794693536192,NA,NA,NA,NA,4,0
13,169.039993,171.317631616694,171.26592166028,NA,NA,NA,NA,4,0
14,169.300003,169.415650141198,169.501172637534,NA,NA,NA,NA,4,0
15,167.419998,169.237870539559,169.37275964448,NA,NA,NA,NA,4,0
16,170.520004,167.694418708013,167.720588079337,NA,NA,NA,NA,4,0
17,169,170.424087942213,170.311202600987,NA,NA,NA,NA,4,0
18,172.630005,169.479120406498,169.441615923939,NA,NA,NA,NA,4,0
19,174.509995,172.599962733903,172.491696094906,NA,NA,NA,NA,4,0
20,174.509995,174.70543404976,174.795488994228,NA,NA,NA,NA,4,0
21,174.669998,175.212211127767,174.960845031916,NA,NA,NA,NA,4,0
22,175.119995,174.602557582045,175.00308196489,NA,NA,NA,NA,4,0
23,175.550003,175.576042547036,175.397690268595,NA,NA,NA,NA,4,0
24,177.070007,175.653166402151,175.83210955022,NA,NA,NA,NA,4,0
25,177.75,177.474397596437,177.266720110006,NA,NA,NA,NA,4,0
26,177.139999,177.922326628218,178.088402555197,NA,NA,NA,NA,4,0
27,178.240005,177.708170241919,177.558194108489,NA,NA,NA,NA,4,0
28,178.059998,178.164688380825,178.429627386771,NA,NA,NA,NA,4,0
29,176.580002,178.622249641826,178.421646678475,NA,NA,NA,NA,4,0
30,176.210007,176.800007964989,176.984107955421,NA,NA,NA,NA,4,0
31,175.919998,176.445494762323,176.409619952675,NA,NA,NA,NA,4,0
32,181.479996,176.028774245611,176.129370526428,NA,NA,NA,NA,4,0
33,181.919998,181.494813634858,181.242728536292,NA,NA,NA,NA,4,0
34,192.630005,182.553042628619,182.492281937612,NA,NA,NA,NA,4,0
35,200.869995,192.44204067096,192.254383077959,NA,NA,NA,NA,4,0
36,203.940002,201.378469694199,201.355084246682,NA,NA,NA,NA,4,0
37,209.179993,205.325849285836,204.989173420325,NA,NA,NA,NA,4,0
38,211.190002,209.06397433855,209.81785002613,NA,NA,NA,NA,4,0
39,206.259995,212.283952430256,212.131931704538,NA,NA,NA,NA,4,0
40,209.630005,207.048122483446,207.534741572636,NA,NA,NA,NA,4,0
41,210.350006,209.519140834751,209.671432442944,NA,NA,NA,NA,4,0
42,211.080002,210.761752935319,210.870810101501,NA,NA,NA,NA,4,0
43,211.110001,211.917904938168,211.511433008009,NA,NA,NA,NA,4,0
44,212.309998,211.030481837481,211.548616242232,NA,NA,NA,NA,4,0
45,211.380005,212.879411296985,212.575074228605,NA,NA,NA,NA,4,0
46,210.350006,211.488084422831,211.841214469882,NA,NA,NA,NA,4,0
47,211.75,210.918704171487,210.673620183335,NA,NA,NA,NA,4,0
48,219.289993,211.400803195525,211.800118382827,NA,NA,NA,NA,4,0
49,226.630005,219.503281201528,218.980532303592,NA,NA,NA,NA,4,0
50,223.360001,226.822690126107,226.815338980519,NA,NA,NA,NA,4,0
51,228.550003,224.853568883486,224.593908513257,NA,NA,NA,NA,4,0
52,231.380005,227.706747404545,228.520768246063,NA,NA,NA,NA,4,0
53,235.559998,232.13137044907,231.843495011544,NA,NA,NA,NA,4,0
54,241.449997,235.879564245956,235.882070217097,NA,NA,NA,NA,4,0
55,241.850006,241.714791336447,241.722156445439,NA,NA,NA,NA,4,0
56,237.169998,242.620029689047,242.70670638832,NA,NA,NA,NA,4,0
57,238.550003,237.82588407508,238.114901519775,NA,NA,NA,NA,4,0
58,239.929993,238.068932035212,238.521054597173,NA,NA,NA,NA,4,0
59,243,240.27883046652,240.056592749723,NA,NA,NA,NA,4,0
60,238.899994,243.202316171679,243.036885963106,NA,NA,NA,NA,4,0
61,239.070007,239.516730426563,239.622589109439,NA,NA,NA,NA,4,0
62,243.089996,238.775855701169,239.017536515169,NA,NA,NA,NA,4,0
63,241.440002,242.783353198471,242.81844543815,NA,NA,NA,NA,4,0
64,240.119995,242.261801016976,241.891634985329,NA,NA,NA,NA,4,0
65,240.970001,239.951634500467,240.281672744053,NA,NA,NA,NA,4,0
66,241.559998,240.781812162625,240.863467291264,NA,NA,NA,NA,4,0
67,240.649994,241.654642902114,241.562593850119,NA,NA,NA,NA,4,0
68,238.179993,240.849345954555,240.782868704545,NA,NA,NA,NA,4,0
69,239.449997,238.147900640804,238.333198042291,NA,NA,NA,NA,4,0
70,241.570007,239.133267451445,239.15124765692,NA,NA,NA,NA,4,0
71,243.130005,241.488583567819,241.379200916605,NA,NA,NA,NA,4,0
72,241.320007,243.32342056984,243.116561826305,NA,NA,NA,NA,4,0
73,244.899994,241.428945010574,241.598621543889,NA,NA,NA,NA,4,0
74,242.889999,244.502442252949,244.546949894636,NA,NA,NA,NA,4,0
75,242.570007,243.236333587601,243.244946460817,NA,NA,NA,NA,4,0
76,245.759995,242.575261976249,242.527814421262,NA,NA,NA,NA,4,0
77,243.839996,245.188453542902,245.441328338243,NA,NA,NA,NA,4,0
