"index","actual","aic_fit","bic_fit","aic","bic","r_aic","r_bic","aic_ma","bic_ma"
1,118.809998,130.114211701576,121.063686668827,NA,NA,NA,NA,3,0
2,117.779999,116.055688118525,118.957541599837,NA,NA,NA,NA,3,0
3,119.220001,115.300415412688,118.027966688569,NA,NA,NA,NA,3,0
4,119.389999,118.124945583559,119.177314478381,NA,NA,NA,NA,3,0
5,117.269997,118.87864185031,119.607103135558,NA,NA,NA,NA,3,0
6,118.129997,116.382813375787,117.628896277045,NA,NA,NA,NA,3,0
7,118.809998,116.657623910087,118.081528378776,NA,NA,NA,NA,3,0
8,118.82,118.021058176846,118.952553269208,NA,NA,NA,NA,3,0
9,119.18,118.573200564518,119.01003382979,NA,NA,NA,NA,3,0
10,118.75,118.85618673826,119.295450140067,NA,NA,NA,NA,3,0
11,119.239998,118.439707489942,118.959624511017,NA,NA,NA,NA,3,0
12,119.800003,118.9135093103,119.316780949362,NA,NA,NA,NA,3,0
13,117.639999,119.703575914085,119.921639366843,NA,NA,NA,NA,3,0
14,117.970001,117.863668382354,118.022885837775,NA,NA,NA,NA,3,0
15,118.260002,117.773777841818,117.966886456142,NA,NA,NA,NA,3,0
16,117.559998,118.29893748463,118.409354339325,NA,NA,NA,NA,3,0
17,118.489998,117.830162792032,117.799681187812,NA,NA,NA,NA,3,0
18,115.410004,118.496137576014,118.518697583016,NA,NA,NA,NA,3,0
19,114.589996,115.781007398696,115.915857109726,NA,NA,NA,NA,3,0
20,114.870003,114.52081844702,114.661763342997,NA,NA,NA,NA,3,0
21,113.440002,114.942655700302,114.980770272391,NA,NA,NA,NA,3,0
22,113.610001,113.908433418176,113.779954320785,NA,NA,NA,NA,3,0
23,113.959999,113.737272574174,113.704608073207,NA,NA,NA,NA,3,0
24,114.559998,114.046246582412,114.133145069973,NA,NA,NA,NA,3,0
25,115.699997,114.677894340695,114.716875122995,NA,NA,NA,NA,3,0
26,115.330002,115.787975204229,115.814675711782,NA,NA,NA,NA,3,0
27,115.989998,115.538326745146,115.612753647193,NA,NA,NA,NA,3,0
28,115.339996,115.980063492812,116.084936200054,NA,NA,NA,NA,3,0
29,114.860001,115.53287389859,115.617887666099,NA,NA,NA,NA,3,0
30,115.029999,115.039670040402,115.047620423241,NA,NA,NA,NA,3,0
31,115.110001,115.193230263212,115.169673537949,NA,NA,NA,NA,3,0
32,116.660004,115.372132448069,115.296385095807,NA,NA,NA,NA,3,0
33,117.050003,116.798160995129,116.698581045451,NA,NA,NA,NA,3,0
34,120.309998,117.333411344249,117.275858283252,NA,NA,NA,NA,3,0
35,119.540001,120.238435192529,120.185247046148,NA,NA,NA,NA,3,0
36,118.470001,119.943680762001,119.948825896812,NA,NA,NA,NA,3,0
37,116.599998,118.59550347952,118.669322253255,NA,NA,NA,NA,3,0
38,116.32,116.730384724695,116.867747940417,NA,NA,NA,NA,3,0
39,116.360001,116.491034851385,116.402713499864,NA,NA,NA,NA,3,0
40,116.57,116.784581822124,116.511204193856,NA,NA,NA,NA,3,0
41,115.360001,116.97506392204,116.723951963951,NA,NA,NA,NA,3,0
42,115,115.695196979988,115.659207959691,NA,NA,NA,NA,3,0
43,112.739998,115.055401012148,115.141778394449,NA,NA,NA,NA,3,0
44,113.07,113.050305975501,113.119799169573,NA,NA,NA,NA,3,0
45,114.129997,113.152146676431,113.104989263774,NA,NA,NA,NA,3,0
46,113.129997,114.367660837673,114.249368057494,NA,NA,NA,NA,3,0
47,112.480003,113.573682915878,113.482717636076,NA,NA,NA,NA,3,0
48,111.300003,112.566987759297,112.682611531036,NA,NA,NA,NA,3,0
49,111.379997,111.378788247383,111.580831538567,NA,NA,NA,NA,3,0
50,111.959999,111.47560695091,111.517812242624,NA,NA,NA,NA,3,0
51,111.940002,112.20783485878,112.125636376578,NA,NA,NA,NA,3,0
52,112.059998,112.244104817378,112.188661869425,NA,NA,NA,NA,3,0
53,111.099998,112.177285929826,112.258830549903,NA,NA,NA,NA,3,0
54,110.989998,111.254936006729,111.410313895035,NA,NA,NA,NA,3,0
55,112.260002,111.068659253007,111.161331105383,NA,NA,NA,NA,3,0
56,115.360001,112.376319811195,112.351132200164,NA,NA,NA,NA,3,0
57,115.889999,115.491913021166,115.347418086228,NA,NA,NA,NA,3,0
58,114.989998,116.273948197073,116.208481483867,NA,NA,NA,NA,3,0
59,115.889999,115.118889781519,115.285007538005,NA,NA,NA,NA,3,0
60,115.879997,115.70515296142,115.932649584489,NA,NA,NA,NA,3,0
61,116.019997,116.137106735752,116.111776651525,NA,NA,NA,NA,3,0
62,115.660004,116.385219228159,116.182015113987,NA,NA,NA,NA,3,0
63,115.309998,115.978884180081,115.878054396715,NA,NA,NA,NA,3,0
64,115.440002,115.515765526273,115.499887078839,NA,NA,NA,NA,3,0
65,115.959999,115.626584988089,115.58740762932,NA,NA,NA,NA,3,0
