"index","actual","aic_fit","bic_fit","aic","bic","r_aic","r_bic","aic_ma","bic_ma"
1,31.34,39.54529566255,39.54529566255,NA,NA,NA,NA,5,5
2,31.07,30.0738776820096,30.0738776820096,NA,NA,NA,NA,5,5
3,31.48,30.5201534383386,30.5201534383386,NA,NA,NA,NA,5,5
4,31.5,32.0728611932151,32.0728611932151,NA,NA,NA,NA,5,5
5,31.389999,32.9555043316401,32.9555043316401,NA,NA,NA,NA,5,5
6,31.719999,32.6801261507339,32.6801261507339,NA,NA,NA,NA,5,5
7,31.5,32.8891007676453,32.8891007676453,NA,NA,NA,NA,5,5
8,31.35,31.9568821736457,31.9568821736457,NA,NA,NA,NA,5,5
9,31.59,31.7204383530385,31.7204383530385,NA,NA,NA,NA,5,5
10,31.48,32.1544202996037,32.1544202996037,NA,NA,NA,NA,5,5
11,31.469999,32.2553095753922,32.2553095753922,NA,NA,NA,NA,5,5
12,31.469999,32.1616505306639,32.1616505306639,NA,NA,NA,NA,5,5
13,31.040001,32.0890650137372,32.0890650137372,NA,NA,NA,NA,5,5
14,30.34,31.5608290127735,31.5608290127735,NA,NA,NA,NA,5,5
15,30.17,30.7761896078747,30.7761896078747,NA,NA,NA,NA,5,5
16,30.18,30.6236808185588,30.6236808185588,NA,NA,NA,NA,5,5
17,30.219999,30.7315726756834,30.7315726756834,NA,NA,NA,NA,5,5
18,30.440001,30.8514681736576,30.8514681736576,NA,NA,NA,NA,5,5
19,30.35,31.0986432786725,31.0986432786725,NA,NA,NA,NA,5,5
20,30.16,30.9937723801574,30.9937723801574,NA,NA,NA,NA,5,5
21,30.15,30.6915086669859,30.6915086669859,NA,NA,NA,NA,5,5
22,30.459999,30.610018652195,30.610018652195,NA,NA,NA,NA,5,5
23,30.34,30.9492271377875,30.9492271377875,NA,NA,NA,NA,5,5
24,30.549999,30.8806386621355,30.8806386621355,NA,NA,NA,NA,5,5
25,30.379999,31.0882451176429,31.0882451176429,NA,NA,NA,NA,5,5
26,30.59,30.8913341004055,30.8913341004055,NA,NA,NA,NA,5,5
27,30.68,31.0428013868251,31.0428013868251,NA,NA,NA,NA,5,5
28,30.48,31.099781802132,31.099781802132,NA,NA,NA,NA,5,5
29,30.389999,30.9456360152342,30.9456360152342,NA,NA,NA,NA,5,5
30,30.32,30.797824343145,30.797824343145,NA,NA,NA,NA,5,5
31,30.190001,30.7367408263038,30.7367408263038,NA,NA,NA,NA,5,5
32,30.940001,30.5914357164707,30.5914357164707,NA,NA,NA,NA,5,5
33,31,31.3566108143842,31.3566108143842,NA,NA,NA,NA,5,5
34,31.360001,31.5101924544847,31.5101924544847,NA,NA,NA,NA,5,5
35,31,31.8360035292034,31.8360035292034,NA,NA,NA,NA,5,5
36,31.360001,31.3858222909329,31.3858222909329,NA,NA,NA,NA,5,5
37,31.370001,31.6716178895451,31.6716178895451,NA,NA,NA,NA,5,5
38,31.700001,31.6338143308373,31.6338143308373,NA,NA,NA,NA,5,5
39,31.57,32.0533968164062,32.0533968164062,NA,NA,NA,NA,5,5
40,30.049999,31.9188871747706,31.9188871747706,NA,NA,NA,NA,5,5
41,30.18,30.3894075824938,30.3894075824938,NA,NA,NA,NA,5,5
42,30.049999,30.2969266014181,30.2969266014181,NA,NA,NA,NA,5,5
43,29.889999,30.2935028810963,30.2935028810963,NA,NA,NA,NA,5,5
44,29.709999,30.2903745317181,30.2903745317181,NA,NA,NA,NA,5,5
45,30.09,30.1605305308814,30.1605305308814,NA,NA,NA,NA,5,5
46,29.92,30.6199087375517,30.6199087375517,NA,NA,NA,NA,5,5
47,29.83,30.3423267817873,30.3423267817873,NA,NA,NA,NA,5,5
48,29.82,30.1988038362313,30.1988038362313,NA,NA,NA,NA,5,5
49,29.450001,30.1645265748139,30.1645265748139,NA,NA,NA,NA,5,5
50,29.25,29.8362444963692,29.8362444963692,NA,NA,NA,NA,5,5
51,29.530001,29.583939013435,29.583939013435,NA,NA,NA,NA,5,5
52,29.33,29.9144979012049,29.9144979012049,NA,NA,NA,NA,5,5
53,29.950001,29.7729156901972,29.7729156901972,NA,NA,NA,NA,5,5
54,29.950001,30.3727304141264,30.3727304141264,NA,NA,NA,NA,5,5
55,30.059999,30.4103706815313,30.4103706815313,NA,NA,NA,NA,5,5
56,30.17,30.4794911441761,30.4794911441761,NA,NA,NA,NA,5,5
57,30.59,30.4797857000051,30.4797857000051,NA,NA,NA,NA,5,5
58,30.459999,30.9326724122062,30.9326724122062,NA,NA,NA,NA,5,5
59,30.629999,30.7770859116234,30.7770859116234,NA,NA,NA,NA,5,5
60,30.59,30.9499087504348,30.9499087504348,NA,NA,NA,NA,5,5
61,30.75,30.8807610135897,30.8807610135897,NA,NA,NA,NA,5,5
62,30.559999,31.0330683332777,31.0330683332777,NA,NA,NA,NA,5,5
63,30.42,30.8102271478002,30.8102271478002,NA,NA,NA,NA,5,5
64,30.459999,30.6945607082747,30.6945607082747,NA,NA,NA,NA,5,5
65,30.530001,30.7020497906831,30.7020497906831,NA,NA,NA,NA,5,5
66,30.68,30.8176088615608,30.8176088615608,NA,NA,NA,NA,5,5
67,30.42,30.9756144559359,30.9756144559359,NA,NA,NA,NA,5,5
68,30.459999,30.7394935970187,30.7394935970187,NA,NA,NA,NA,5,5
69,30.219999,30.7281223754935,30.7281223754935,NA,NA,NA,NA,5,5
70,30.540001,30.4661126549397,30.4661126549397,NA,NA,NA,NA,5,5
71,30.1,30.7915359381105,30.7915359381105,NA,NA,NA,NA,5,5
72,30.17,30.392394361741,30.392394361741,NA,NA,NA,NA,5,5
73,30.23,30.4683111959624,30.4683111959624,NA,NA,NA,NA,5,5
74,30.18,30.5006885451117,30.5006885451117,NA,NA,NA,NA,5,5
75,30.379999,30.5010813781755,30.5010813781755,NA,NA,NA,NA,5,5
